"Austrian","sqft","15"
"Casual with Tails-o","sqft","8.5"
"Soft Casual-o","sqft","8.5"
"Gathered Casual-o","sqft","9"
"Pltd. Soft Casual-o","sqft","9"
"Stagecoach","sqft","9"
"Soft Fold","sqft","10"
"Shirred Soft Fold","sqft","12.5"
"Deco Fold","sqft","11.26"
"Front Slat","sqft","9"
"Back Slate","sqft","9"
"Single Tuk","sqft","9"
"Gathered Tuk","sqft","12.5"
"Double Tuk","sqft","11.26"
"Triple Tuk","sqft","12.5"
"Full Tuk","sqft","12"
"Dog Ear","sqft","10"
"Balloon","sqft","11.26"
"Cloud","sqft","11.26"
"Pole Cloud","sqft","11.26"
"Casual-o","sqft","8.5"
"Soft Fold TD/BU","sqft","13.5"
"Soft Fold BU","sqft","13"
"Front Slat TD/BU","sqft","12.15"
"Front Slat BU","sqft","11.7"
"Back Slat TD/BU","sqft","12.15"
"Back Slat BU","sqft","11.7"
"Single Tuk TD/BU","sqft","12.15"
"Single Tuk BU","sqft","11.7"
"Casual BU-o","sqft","11.05"
"Custom Line Item","sqft",in
"Balloon Royale","sqft","15"
"Flat Valance -Max drop 6in ","linear","5"
"Double Tuk TD/BU","sqft","15.2"
"Deco Fold BU","sqft","14.64"
"Deco Fold TD/BU","sqft","15.2"
"Special Order","sqft",in
"Dog Ear - Gathered","sqft","10"
"Pltd.Soft Casual w/Tails-o","sqft","9"
"Dog Ear Valance","linear","10"
"Cloud Valance","linear","11.26"
"Cloud w/4 Cord Shirring","sqft","11.26"
"Box Pltd. Valance(up to12in)","linear","8"
"Triple Tuk TD/BU","sqft","16.88"
"Triple Tuk BU","sqft","16.25"
"Box Pltd. Valance(up to 24in)","linear","8"
"Box Pltd. Valance(up to18in)","linear","8"
"Box Pltd. Valance(up to 6in)","linear","8"
"Valance - 12in Straight","linear","4"
"Smocked Cloud","sqft","11.26"
"Balloon Valance","sqft","11.26"
"Casual with Tails Valance-o","sqft","8.5"
"Soft Casual Valance-o","sqft","8.5"
"Soft Fold Valance","linear","10"
"Flat Valance - Max drop 24in ","linear",""
"Flat Valance -Max drop 12in ","linear",""
"Flat Valance -Max drop 18in ","linear",""
"Deco Fold Valance","sqft","11.26"
"Stagecoach Valance","sqft",in
"Double Tuk - BU","sqft","14.64"
"Pole Cloud Valance","linear","11.26"
"Pinch Pleated Panel","flat","8"
"Quadruple Tuk","sqft","12"
"Fan Pleated Casual-o","sqft","9"
"Flat Valance -Max drop 12in(not Selflined) ","linear",""
"Flat Valance -Max drop 18in (not Selflined)","linear",""
"Flat Valance - Max drop 24in (not Selflined)","linear",""
"Box Pltd. Valance(up to 12in) (not Selflined)","linear",""
"Box Pltd. Valance(up to 18in) (not Selflined)","linear","8"
"Box Pltd. Valance(up to 24in) (not Selflined)","linear","8"
"Scalloped Valance (up to6in)","linear",""
"Scalloped Valance (up to12in)","linear",""
"Scalloped Valance (up to18in)","linear",""
"Scalloped Valance (up to24in)","linear",""
"Flat Valance -Max drop 6in ","linear","5"
"Gathered Soft Casual-o","sqft","9"
"Cornice - under 5.5in Depth","linear","28"
"Pillow - Bolster Flat  Edge  7in x 20in ","flat","85"
"Pillow - Bolster Gathered  Edge  7in x 20in","flat","85"
"Pillow - Flanged Edge up to 24in","flat","75"
"Pillow - Flanged Edge up to 36in","flat","85"
"Pillow - Soft Edge up to 36in","flat","85"
"Pillow - Soft Edge up to 24in","flat","75"
"Pillow - Knife Edge up to 24in","flat","60"
"Pillow - Knife Edge up to 36in","flat","75"
"Pillow - Grid Face up to 36in","flat","120"
"Pillow - Grid Face up to 24in","flat","100"
"Pillow - Dart Edge up to 24in","flat","75"
"Pillow - Dart Edge up to 36in","flat","85"
"Butterly","sqft","8.5"
"Pillow - Bolster Flat  Edge 9in x 24in ","flat","90"
"Shirred Valance (up to 12in)","linear","15"
"Casual TD/BU-o","sqft","11.48"
"Shirred Front Slat","sqft","11.5"
"Casual BU - NO Valance-o","sqft","10.63"
"Casual TD/BU - NO Valance-o","sqft","11.05"
"Back Slat BU - NO VALANCE","sqft","11.25"
"Back Slat TD/BU - NO VALANCE","sqft","11.7"
"Front Slat TD/BU - NO VALANCE","sqft","12.15"
"Front Slat BU - NO VALANCE","sqft","11.7"
"RM-Soft Fold (shoo1/9)","sqft","10"
"RM-Soft Fold  BU (sh001a/11.7)","sqft","13"
"RM-Soft Fold TD/BU (sh001b/12.15)","sqft","13.5"
"RM-Austrian (shoo7/11.5)","sqft","15"
"RM-Balloon (SH009/8.50)","sqft","11.26"
"RM-Casual (SH003/7.50)","sqft","8.5"
"Soft Fold TD/BU-NO Valance","sqft","13"
"RM-Pole Cloud (shoo8/8.5)","sqft","11.26"
"RM-Balloon Royal(sh10/10.5)","sqft","15"
"RM-Soft Casual (shoo4/7.5)","sqft","8.5"
"RM-Pltd.Sft Casual(shoo5/7.5)","sqft","9"
"RM-Casual w/Tails(shoo6/7.5)","sqft","8.5"
"RM-Back Slat (SH002)","sqft","9"
"RM-Dog Ear (SH011/8.00)","sqft","10"
"Casual","sqft","9.5"
"Casual BU w/Valance","sqft","11.18"
"Casual BU - NO Valance","sqft","10.75"
"Casual TD/BU w/Valance","sqft","11.61"
"Casual TD/BU - NO Valance","sqft","11.18"
"Soft Casual","sqft","8.6"
"Casual with Tails","sqft","8.6"
"Pltd. Soft Casual","sqft","9"
"Gathered Casual","sqft","9"
